user_id,sexo,comentario,fecha_nacimiento
1,Mujer,Me encantan las novelas profundas,1980-02-08
2,Hombre,Leo mucha tecnología y ensayo,1990-04-02
3,Hombre,Me gustan los clásicos oscuros,1993-11-09
4,Prefiere no responder,Busco libros de superación,2000-04-12
5,Prefiere no responder,Thrillers y misterio son mis favoritos,1987-02-20
6,Mujer,Suelo leer fantasía y ciencia ficción,1995-08-18
7,Hombre,Quiero leer más en inglés,1983-03-10
8,Mujer,Me interesa el feminismo y la sociología,1998-12-01
9,Hombre,Novela histórica y aventuras,1979-05-17

